title,image,description
Déserts médicaux : la SNCF annonce l’installation de centres de télémédecine dans environ 300 gares,https://img.lemde.fr/2016/05/29/0/0/5184/3456/110/73/60/0/2c9e0d0_5962920-01-06.jpg,L’entreprise ferroviaire précise que ces centres seront implantés dans les zones où l’offre de soin est insuffisante. Un partenariat qui nécessitera de trouver des infirmiers et des médecins libéraux disponibles pour participer au dispositif.
"« La décision du Sénat de supprimer l’AME ne correspond à aucune logique médicale, budgétaire ou de lutte contre la fraude »",https://img.lemde.fr/2023/11/14/0/0/5855/3903/110/73/60/0/59f5dd4_5871354-01-06.jpg,"Les médecins Bernard Basset, Amine Benyamina et François Bourdillon estiment, dans une tribune au « Monde », que le vote des sénateurs le 7 novembre de la suppression de l’Aide médicale d’Etat constitue un moment noir pour la santé publique et les valeurs humanistes de la France."
Les difficultés des étudiants souffrant d’un trouble de l’attention : « Pourquoi j’ai cette impression de ne pas fonctionner comme les autres ? »,https://img.lemde.fr/2023/11/27/181/0/7543/5028/110/73/60/0/96a9a0e_1701081415992-tdah-clr.jpg,Le nombre de jeunes atteints d’un TDAH est en hausse dans l’enseignement supérieur. Une meilleure reconnaissance qui pourrait s’expliquer par la libération de la parole sur les troubles cognitifs et les effets de la loi de 2005 sur l’inclusion des élèves en situation de handicap.
Du cartel mexicain de Sinaloa aux rues de New York : au cœur du business du fentanyl,https://img.lemde.fr/2023/11/01/0/150/1620/1080/110/73/60/0/c5f2dd8_1698857249755-sei-quence-03-01-37-14-13-still136.jpg,"Pendant deux ans, Bertrand Monnet, professeur à l’Edhec et spécialiste de l’économie du crime, a filmé pour « Le Monde » toutes les étapes du « business model » du cartel de Sinaloa, au Mexique. Dans ce deuxième épisode, zoom sur l’organisation bien huilée du cartel pour vendre le fentanyl, des clans du Culiacan aux dealeurs de New York."
"Pour lutter contre les rendez-vous médicaux non honorés, le Sénat vote le principe d’une taxe forfaitaire",https://img.lemde.fr/2023/07/10/0/0/5149/3433/110/73/60/0/69f166f_1688973943036-000-1r56f0.jpeg,"Entre 6 % et 10 % des patients ne se présenteraient pas à leurs rendez-vous. Le gouvernement se montre « très sensible » sur la question, mais il a rendu un avis défavorable concernant le mécanisme proposé et pourra le rejeter à l’Assemblée nationale grâce à l’article 49.3."
Santé : « La prévention des cancers ORL doit être considérée comme un véritable enjeu de santé publique »,https://img.lemde.fr/2023/11/16/0/10/5595/3730/110/73/60/0/84f096b_1700141015525-pns-2090328.jpg,"Sabrina Le Bars, présidente de l’association de patients Corasso, et François Blot, président du comité d’éthique à l’Institut Gustave-Roussy, proposent, dans une tribune au « Monde », que l’on lance un projet de grande ambition afin de mieux lutter contre les cancers ORL."
Toques en stock aux fourneaux contre les inégalités nutritionnelles,https://img.lemde.fr/2023/11/13/0/0/1500/1000/110/73/60/0/7985a3c_310144-3347048.jpg,"Depuis deux ans, l’association organise des ateliers de cuisine et de diététique à destination des publics défavorisés. Car la précarité alimentaire signifie aussi un accès plus difficile à une nourriture saine."
La puff va-t-elle faire pschitt ?,https://img.lemde.fr/2023/11/15/1248/0/2292/1528/110/73/60/0/31a7f25_1700047804299-635-sem-objet.jpg,"Grâce à la mobilisation des associations contre le tabagisme, la cigarette électronique jetable, très prisée des jeunes, pourrait faire l’objet d’une interdiction en France."
"La régulation de la charge de travail, grande oubliée du management",https://img.lemde.fr/2023/11/15/0/0/4612/3075/110/73/60/0/de36a0a_1700059785788-000-33w83kz.jpg,"Bien définir et réguler la quantité de travail de chaque salarié de l’entreprise contribue à optimiser la productivité tout en réduisant l’inconfort ou le désengagement des employés comme des manageurs, voire à éviter les burn-out."
Fin de vie : que dit la loi actuelle ? Comprendre en trois minutes,https://img.lemde.fr/2023/11/14/0/42/456/304/110/73/60/0/aa651f0_1699981768484-findevie.jpg,"VIDÉO - Quatorze mois après le débat national sur la fin de vie, le texte promis par Emmanuel Macron alors qu’il était candidat ne devrait être débattu à l’Assemblée nationale qu’en 2024. Mais que dit la loi actuelle, que ce nouveau projet veut modifier ?"
